Start coordinate search:
Starting position: (1, 1, 1) with performance: 5743 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (4, 4, 1) with performance: 1213 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 16, 1) with performance: 474 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 391 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (64, 64, 1) with performance: 368 ms
Neighbor size: 10
tile size (t1, t2, t3): (64, 256, 1) with performance: 363 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 361 ms
Neighbor size: 8
coordinate search took 102679 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 361 ms
Start exhaustive search:
1 1 1 5741
1 1 2 5433
1 1 4 5248
1 1 8 5186
1 1 16 5155
1 1 32 5151
1 1 64 5192
1 1 128 5170
1 1 256 5159
1 1 512 5155
1 2 1 3387
1 2 2 2803
1 2 4 2633
1 2 8 2603
1 2 16 2602
1 2 32 2601
1 2 64 2611
1 2 128 2607
1 2 256 2605
1 2 512 2604
1 4 1 3232
1 4 2 3220
1 4 4 3220
1 4 8 3220
1 4 16 3208
1 4 32 3203
1 4 64 3196
1 4 128 3195
1 4 256 3194
1 4 512 3196
1 8 1 1302
1 8 2 1120
1 8 4 1097
1 8 8 1095
1 8 16 1095
1 8 32 1095
1 8 64 1095
1 8 128 1096
1 8 256 1096
1 8 512 1096
1 16 1 911
1 16 2 868
1 16 4 854
1 16 8 834
1 16 16 822
1 16 32 818
1 16 64 817
1 16 128 827
1 16 256 823
1 16 512 821
1 32 1 676
1 32 2 600
1 32 4 568
1 32 8 554
1 32 16 542
1 32 32 538
1 32 64 553
1 32 128 550
1 32 256 548
1 32 512 543
1 64 1 514
1 64 2 494
1 64 4 471
1 64 8 462
1 64 16 459
1 64 32 465
1 64 64 463
1 64 128 461
1 64 256 459
1 64 512 457
1 128 1 481
1 128 2 445
1 128 4 430
1 128 8 412
1 128 16 420
1 128 32 415
1 128 64 415
1 128 128 408
1 128 256 403
1 128 512 401
1 256 1 391
1 256 2 382
1 256 4 379
1 256 8 381
1 256 16 379
1 256 32 378
1 256 64 376
1 256 128 376
1 256 256 376
1 256 512 376
1 512 1 384
1 512 2 380
1 512 4 380
1 512 8 380
1 512 16 379
1 512 32 378
1 512 64 378
1 512 128 377
1 512 256 378
1 512 512 377
2 1 1 3454
2 1 2 2915
2 1 4 2702
2 1 8 2682
2 1 16 2825
2 1 32 3139
2 1 64 3896
2 1 128 4569
2 1 256 4885
2 1 512 5053
2 2 1 2259
2 2 2 1717
2 2 4 1590
2 2 8 1641
2 2 16 1864
2 2 32 2007
2 2 64 2371
2 2 128 2493
2 2 256 2547
2 2 512 2579
2 4 1 1715
2 4 2 1785
2 4 4 1674
2 4 8 1958
2 4 16 2043
2 4 32 2620
2 4 64 2920
2 4 128 3072
2 4 256 3145
2 4 512 3179
2 8 1 982
2 8 2 952
2 8 4 807
2 8 8 868
2 8 16 833
2 8 32 953
2 8 64 1024
2 8 128 1069
2 8 256 1083
2 8 512 1091
2 16 1 605
2 16 2 629
2 16 4 636
2 16 8 626
2 16 16 645
2 16 32 667
2 16 64 677
2 16 128 693
2 16 256 691
2 16 512 690
2 32 1 494
2 32 2 447
2 32 4 422
2 32 8 417
2 32 16 417
2 32 32 429
2 32 64 438
2 32 128 443
2 32 256 443
2 32 512 445
2 64 1 432
2 64 2 425
2 64 4 409
2 64 8 407
2 64 16 407
2 64 32 412
2 64 64 411
2 64 128 407
2 64 256 406
2 64 512 407
2 128 1 408
2 128 2 391
2 128 4 387
2 128 8 384
2 128 16 392
2 128 32 390
2 128 64 388
2 128 128 385
2 128 256 383
2 128 512 384
2 256 1 394
2 256 2 392
2 256 4 389
2 256 8 392
2 256 16 391
2 256 32 386
2 256 64 385
2 256 128 387
2 256 256 386
2 256 512 378
2 512 1 383
2 512 2 383
2 512 4 384
2 512 8 383
2 512 16 384
2 512 32 384
2 512 64 383
2 512 128 383
2 512 256 384
2 512 512 388
4 1 1 2799
4 1 2 2158
4 1 4 1823
4 1 8 2052
4 1 16 2453
4 1 32 3093
4 1 64 3798
4 1 128 4524
4 1 256 4856
4 1 512 5027
4 2 1 1883
4 2 2 1532
4 2 4 1471
4 2 8 1426
4 2 16 1751
4 2 32 1917
4 2 64 2310
4 2 128 2464
4 2 256 2530
4 2 512 2566
4 4 1 1214
4 4 2 1306
4 4 4 1476
4 4 8 1863
4 4 16 1972
4 4 32 2556
4 4 64 2882
4 4 128 3058
4 4 256 3142
4 4 512 3180
4 8 1 721
4 8 2 711
4 8 4 721
4 8 8 738
4 8 16 764
4 8 32 907
4 8 64 1003
4 8 128 1057
4 8 256 1076
4 8 512 1088
4 16 1 474
4 16 2 563
4 16 4 511
4 16 8 518
4 16 16 560
4 16 32 596
4 16 64 612
4 16 128 622
4 16 256 624
4 16 512 623
4 32 1 413
4 32 2 387
4 32 4 383
4 32 8 389
4 32 16 395
4 32 32 397
4 32 64 401
4 32 128 402
4 32 256 403
4 32 512 402
4 64 1 392
4 64 2 394
4 64 4 387
4 64 8 389
4 64 16 388
4 64 32 389
4 64 64 387
4 64 128 379
4 64 256 379
4 64 512 382
4 128 1 378
4 128 2 375
4 128 4 376
4 128 8 374
4 128 16 378
4 128 32 376
4 128 64 376
4 128 128 373
4 128 256 372
4 128 512 370
4 256 1 378
4 256 2 379
4 256 4 378
4 256 8 378
4 256 16 377
4 256 32 376
4 256 64 376
4 256 128 375
4 256 256 375
4 256 512 376
4 512 1 374
4 512 2 374
4 512 4 373
4 512 8 373
4 512 16 373
4 512 32 373
4 512 64 373
4 512 128 373
4 512 256 373
4 512 512 377
8 1 1 2559
8 1 2 1947
8 1 4 1687
8 1 8 2007
8 1 16 2379
8 1 32 3040
8 1 64 3759
8 1 128 4503
8 1 256 4842
8 1 512 5016
8 2 1 1656
8 2 2 1462
8 2 4 1377
8 2 8 1380
8 2 16 1663
8 2 32 1856
8 2 64 2283
8 2 128 2453
8 2 256 2522
8 2 512 2560
8 4 1 1121
8 4 2 1185
8 4 4 1395
8 4 8 1832
8 4 16 1945
8 4 32 2528
8 4 64 2870
8 4 128 3054
8 4 256 3139
8 4 512 3178
8 8 1 591
8 8 2 633
8 8 4 605
8 8 8 674
8 8 16 740
8 8 32 889
8 8 64 991
8 8 128 1051
8 8 256 1074
8 8 512 1087
8 16 1 414
8 16 2 465
8 16 4 446
8 16 8 463
8 16 16 523
8 16 32 558
8 16 64 576
8 16 128 588
8 16 256 589
8 16 512 586
8 32 1 391
8 32 2 388
8 32 4 377
8 32 8 384
8 32 16 385
8 32 32 386
8 32 64 389
8 32 128 389
8 32 256 386
8 32 512 387
8 64 1 376
8 64 2 379
8 64 4 378
8 64 8 377
8 64 16 376
8 64 32 377
8 64 64 375
8 64 128 373
8 64 256 373
8 64 512 373
8 128 1 370
8 128 2 372
8 128 4 370
8 128 8 370
8 128 16 371
8 128 32 370
8 128 64 369
8 128 128 368
8 128 256 367
8 128 512 367
8 256 1 374
8 256 2 372
8 256 4 370
8 256 8 370
8 256 16 370
8 256 32 370
8 256 64 369
8 256 128 369
8 256 256 368
8 256 512 369
8 512 1 369
8 512 2 368
8 512 4 367
8 512 8 367
8 512 16 368
8 512 32 368
8 512 64 367
8 512 128 367
8 512 256 367
8 512 512 370
16 1 1 2475
16 1 2 1868
16 1 4 1703
16 1 8 1916
16 1 16 2317
16 1 32 3017
16 1 64 3742
16 1 128 4496
16 1 256 4835
16 1 512 5011
16 2 1 1543
16 2 2 1473
16 2 4 1404
16 2 8 1327
16 2 16 1630
16 2 32 1835
16 2 64 2275
16 2 128 2448
16 2 256 2518
16 2 512 2556
16 4 1 1104
16 4 2 1128
16 4 4 1390
16 4 8 1813
16 4 16 1927
16 4 32 2513
16 4 64 2864
16 4 128 3053
16 4 256 3140
16 4 512 3178
16 8 1 523
16 8 2 540
16 8 4 535
16 8 8 648
16 8 16 722
16 8 32 878
16 8 64 985
16 8 128 1049
16 8 256 1072
16 8 512 1085
16 16 1 399
16 16 2 422
16 16 4 429
16 16 8 442
16 16 16 502
16 16 32 539
16 16 64 558
16 16 128 570
16 16 256 572
16 16 512 569
16 32 1 385
16 32 2 384
16 32 4 377
16 32 8 379
16 32 16 379
16 32 32 381
16 32 64 384
16 32 128 383
16 32 256 383
16 32 512 383
16 64 1 370
16 64 2 375
16 64 4 371
16 64 8 370
16 64 16 370
16 64 32 371
16 64 64 369
16 64 128 369
16 64 256 369
16 64 512 369
16 128 1 369
16 128 2 367
16 128 4 367
16 128 8 366
16 128 16 368
16 128 32 367
16 128 64 367
16 128 128 366
16 128 256 365
16 128 512 364
16 256 1 368
16 256 2 367
16 256 4 365
16 256 8 366
16 256 16 366
16 256 32 366
16 256 64 365
16 256 128 365
16 256 256 365
16 256 512 366
16 512 1 364
16 512 2 364
16 512 4 364
16 512 8 364
16 512 16 364
16 512 32 364
16 512 64 363
16 512 128 364
16 512 256 364
16 512 512 366
32 1 1 2430
32 1 2 1882
32 1 4 1635
32 1 8 1863
32 1 16 2295
32 1 32 3017
32 1 64 3742
32 1 128 4493
32 1 256 4833
32 1 512 5008
32 2 1 1490
32 2 2 1503
32 2 4 1367
32 2 8 1302
32 2 16 1630
32 2 32 1839
32 2 64 2274
32 2 128 2447
32 2 256 2517
32 2 512 2555
32 4 1 1091
32 4 2 1131
32 4 4 1361
32 4 8 1798
32 4 16 1923
32 4 32 2508
32 4 64 2863
32 4 128 3054
32 4 256 3140
32 4 512 3179
32 8 1 492
32 8 2 501
32 8 4 512
32 8 8 633
32 8 16 714
32 8 32 874
32 8 64 984
32 8 128 1048
32 8 256 1071
32 8 512 1085
32 16 1 395
32 16 2 412
32 16 4 400
32 16 8 429
32 16 16 494
32 16 32 530
32 16 64 549
32 16 128 562
32 16 256 565
