Start coordinate search:
Starting position: (1, 1, 1) with performance: 5744 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (4, 4, 1) with performance: 1230 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 16, 1) with performance: 486 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 395 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 256, 1) with performance: 369 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 256, 1) with performance: 364 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 362 ms
Neighbor size: 8
coordinate search took 102908 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 362 ms
Start exhaustive search:
1 1 1 5698
1 1 2 5433
1 1 4 5223
1 1 8 5173
1 1 16 5140
1 1 32 5139
1 1 64 5186
1 1 128 5168
1 1 256 5161
1 1 512 5155
1 2 1 3382
1 2 2 2855
1 2 4 2629
1 2 8 2614
1 2 16 2607
1 2 32 2604
1 2 64 2616
1 2 128 2609
1 2 256 2605
1 2 512 2605
1 4 1 3235
1 4 2 3235
1 4 4 3214
1 4 8 3221
1 4 16 3213
1 4 32 3209
1 4 64 3221
1 4 128 3221
1 4 256 3217
1 4 512 3209
1 8 1 1361
1 8 2 1114
1 8 4 1098
1 8 8 1095
1 8 16 1095
1 8 32 1095
1 8 64 1095
1 8 128 1095
1 8 256 1095
1 8 512 1096
1 16 1 920
1 16 2 866
1 16 4 856
1 16 8 834
1 16 16 822
1 16 32 818
1 16 64 834
1 16 128 831
1 16 256 827
1 16 512 823
1 32 1 685
1 32 2 597
1 32 4 570
1 32 8 553
1 32 16 542
1 32 32 538
1 32 64 555
1 32 128 551
1 32 256 549
1 32 512 543
1 64 1 521
1 64 2 484
1 64 4 469
1 64 8 461
1 64 16 458
1 64 32 464
1 64 64 461
1 64 128 460
1 64 256 459
1 64 512 458
1 128 1 486
1 128 2 451
1 128 4 435
1 128 8 419
1 128 16 421
1 128 32 412
1 128 64 405
1 128 128 406
1 128 256 405
1 128 512 402
1 256 1 391
1 256 2 382
1 256 4 378
1 256 8 381
1 256 16 378
1 256 32 377
1 256 64 376
1 256 128 376
1 256 256 376
1 256 512 376
1 512 1 384
1 512 2 381
1 512 4 380
1 512 8 380
1 512 16 379
1 512 32 378
1 512 64 378
1 512 128 378
1 512 256 377
1 512 512 377
2 1 1 3584
2 1 2 2880
2 1 4 2729
2 1 8 2678
2 1 16 2826
2 1 32 3126
2 1 64 3931
2 1 128 4585
