Start coordinate search:
Starting position: (1, 1, 1) with performance: 28799 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 7442 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 6524 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 256, 1) with performance: 6056 ms
Neighbor size: 7
tile size (t1, t2, t3): (2, 256, 1) with performance: 5943 ms
Neighbor size: 8
tile size (t1, t2, t3): (2, 256, 2) with performance: 5836 ms
Neighbor size: 9
coordinate search took 566470 milliseconds to converge.
Best tile sizes: (2, 256, 2) with performance: 5836 ms
Start exhaustive search:
1 1 1 28855
1 1 2 21063
1 1 4 17140
1 1 8 15217
1 1 16 14263
1 1 32 13760
1 1 64 13498
1 1 128 13364
1 1 256 13297
1 1 512 13263
1 2 1 15756
1 2 2 12032
1 2 4 10326
1 2 8 10030
1 2 16 9578
1 2 32 9342
1 2 64 9222
1 2 128 9224
1 2 256 8911
1 2 512 9129
1 4 1 9868
1 4 2 8789
1 4 4 8063
1 4 8 7958
1 4 16 7805
1 4 32 7521
1 4 64 7552
1 4 128 7428
1 4 256 7271
1 4 512 7284
1 8 1 8093
1 8 2 7513
1 8 4 7345
1 8 8 6906
1 8 16 7014
1 8 32 7180
1 8 64 6799
1 8 128 6781
1 8 256 6784
1 8 512 6679
1 16 1 7306
1 16 2 6983
1 16 4 6752
1 16 8 6670
1 16 16 6616
1 16 32 6586
1 16 64 6599
1 16 128 6550
1 16 256 6543
1 16 512 6628
1 32 1 6767
1 32 2 6363
1 32 4 6371
1 32 8 6279
1 32 16 6218
1 32 32 6303
1 32 64 6211
1 32 128 6268
1 32 256 6263
1 32 512 6123
1 64 1 6590
1 64 2 6135
1 64 4 6116
1 64 8 6136
1 64 16 6072
1 64 32 6057
1 64 64 6061
1 64 128 6038
1 64 256 5908
1 64 512 5998
1 128 1 6394
1 128 2 6114
1 128 4 6102
1 128 8 6047
1 128 16 6033
1 128 32 5981
1 128 64 5985
1 128 128 6027
1 128 256 5978
1 128 512 5995
1 256 1 6038
1 256 2 5951
1 256 4 6031
1 256 8 6021
1 256 16 6002
1 256 32 6013
1 256 64 5964
1 256 128 5970
1 256 256 6056
1 256 512 6151
1 512 1 6054
1 512 2 6021
1 512 4 5980
1 512 8 6001
1 512 16 5969
1 512 32 5991
1 512 64 6042
1 512 128 6057
1 512 256 6092
1 512 512 6172
2 1 1 25920
2 1 2 19521
2 1 4 16331
2 1 8 14712
2 1 16 13935
2 1 32 13517
2 1 64 13304
2 1 128 13196
2 1 256 13140
2 1 512 13119
2 2 1 14282
2 2 2 11151
2 2 4 10197
2 2 8 9918
2 2 16 9500
2 2 32 9312
2 2 64 9124
2 2 128 9070
2 2 256 10233
2 2 512 8879
2 4 1 9487
2 4 2 8459
2 4 4 8105
2 4 8 7455
2 4 16 7191
2 4 32 7125
2 4 64 6991
2 4 128 6985
2 4 256 6895
2 4 512 6945
2 8 1 7843
2 8 2 7340
2 8 4 6876
2 8 8 6631
2 8 16 6573
2 8 32 6540
2 8 64 6499
2 8 128 6593
2 8 256 6522
2 8 512 6525
2 16 1 7073
2 16 2 6820
2 16 4 6554
2 16 8 6428
2 16 16 6337
2 16 32 6349
2 16 64 6267
2 16 128 6367
2 16 256 6374
2 16 512 6369
2 32 1 6279
2 32 2 6240
2 32 4 6115
2 32 8 6036
2 32 16 5992
2 32 32 5975
2 32 64 6003
2 32 128 6036
2 32 256 6221
2 32 512 6067
2 64 1 6114
2 64 2 6015
2 64 4 6072
2 64 8 6051
2 64 16 6080
2 64 32 6052
2 64 64 6009
2 64 128 6052
2 64 256 6073
2 64 512 6076
2 128 1 5915
2 128 2 5971
2 128 4 6000
2 128 8 6068
2 128 16 5987
2 128 32 5988
2 128 64 5894
2 128 128 5830
2 128 256 5848
2 128 512 5979
2 256 1 5957
2 256 2 5759
2 256 4 5874
2 256 8 5860
2 256 16 5880
2 256 32 5925
2 256 64 5916
2 256 128 5933
2 256 256 6107
2 256 512 6204
2 512 1 6020
2 512 2 5985
2 512 4 5980
2 512 8 5930
2 512 16 5949
2 512 32 5997
2 512 64 5953
2 512 128 6022
2 512 256 6075
2 512 512 6162
4 1 1 24433
4 1 2 18720
4 1 4 15999
4 1 8 14491
4 1 16 13762
4 1 32 13386
4 1 64 13195
4 1 128 13099
4 1 256 13052
4 1 512 13034
4 2 1 13516
4 2 2 11059
4 2 4 10009
4 2 8 9564
4 2 16 9175
4 2 32 8927
4 2 64 8858
4 2 128 8694
4 2 256 8706
4 2 512 8555
4 4 1 9420
4 4 2 8606
4 4 4 7876
4 4 8 7541
4 4 16 7368
4 4 32 7221
4 4 64 7176
4 4 128 7082
4 4 256 7101
4 4 512 7047
4 8 1 7863
4 8 2 7336
4 8 4 6992
4 8 8 6833
4 8 16 6715
4 8 32 6737
4 8 64 6680
4 8 128 6630
4 8 256 6631
4 8 512 6630
4 16 1 6885
4 16 2 6772
4 16 4 6672
4 16 8 6519
4 16 16 6484
4 16 32 6504
4 16 64 6449
4 16 128 6431
4 16 256 6497
4 16 512 6567
4 32 1 6602
4 32 2 6368
4 32 4 6189
4 32 8 6172
4 32 16 6147
4 32 32 6125
4 32 64 6056
4 32 128 6113
4 32 256 6120
4 32 512 6284
4 64 1 6424
4 64 2 6122
4 64 4 6153
4 64 8 6111
4 64 16 6144
4 64 32 6037
4 64 64 6016
4 64 128 6051
4 64 256 6161
4 64 512 6096
4 128 1 6230
4 128 2 6052
4 128 4 6066
4 128 8 6076
4 128 16 6018
4 128 32 5951
4 128 64 5892
4 128 128 6041
4 128 256 5996
4 128 512 6186
4 256 1 6010
4 256 2 5730
4 256 4 5848
4 256 8 5832
4 256 16 5891
4 256 32 5883
4 256 64 5889
4 256 128 6000
4 256 256 6160
4 256 512 6336
4 512 1 6093
4 512 2 5912
4 512 4 5920
4 512 8 5986
4 512 16 5971
4 512 32 5951
4 512 64 5954
4 512 128 6006
4 512 256 6117
4 512 512 6202
8 1 1 23698
8 1 2 18424
8 1 4 15714
8 1 8 14329
8 1 16 13680
8 1 32 13325
8 1 64 13146
8 1 128 13058
8 1 256 13011
8 1 512 12997
8 2 1 13223
8 2 2 10799
8 2 4 10012
8 2 8 9462
8 2 16 9016
8 2 32 8808
8 2 64 8888
8 2 128 8615
8 2 256 8459
8 2 512 8506
8 4 1 9193
8 4 2 8456
8 4 4 8034
8 4 8 7648
8 4 16 7396
8 4 32 7270
8 4 64 7244
8 4 128 7155
8 4 256 7124
8 4 512 7175
8 8 1 7666
8 8 2 7207
8 8 4 7065
8 8 8 6965
8 8 16 6897
8 8 32 6788
8 8 64 6712
8 8 128 6858
8 8 256 6605
8 8 512 6809
8 16 1 7290
8 16 2 6810
8 16 4 6708
8 16 8 6614
8 16 16 6590
8 16 32 6584
8 16 64 6525
8 16 128 6603
8 16 256 6620
8 16 512 6670
8 32 1 6857
8 32 2 6339
8 32 4 6291
8 32 8 6228
8 32 16 6212
8 32 32 6218
8 32 64 6216
8 32 128 6226
8 32 256 6418
8 32 512 6517
8 64 1 6298
8 64 2 6204
8 64 4 6212
8 64 8 6178
8 64 16 6158
8 64 32 6056
8 64 64 6098
8 64 128 6124
8 64 256 6165
8 64 512 6204
8 128 1 6470
8 128 2 6025
8 128 4 6142
8 128 8 6109
8 128 16 5980
8 128 32 5964
8 128 64 5954
8 128 128 6065
8 128 256 6185
8 128 512 6235
8 256 1 5989
8 256 2 5819
8 256 4 5891
8 256 8 5897
8 256 16 5873
8 256 32 5873
8 256 64 5967
8 256 128 5981
8 256 256 6111
8 256 512 6336
8 512 1 6071
8 512 2 6069
8 512 4 5929
8 512 8 5948
8 512 16 5912
8 512 32 5956
8 512 64 6014
8 512 128 6050
8 512 256 6228
8 512 512 6237
