Start coordinate search:
Starting position: (1, 1, 1) with performance: 4836 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 719 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 233 ms
Neighbor size: 8
tile size (t1, t2, t3): (4, 64, 1) with performance: 157 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 4) with performance: 114 ms
Neighbor size: 12
tile size (t1, t2, t3): (16, 64, 4) with performance: 91 ms
Neighbor size: 12
tile size (t1, t2, t3): (16, 256, 4) with performance: 72 ms
Neighbor size: 11
tile size (t1, t2, t3): (64, 256, 4) with performance: 62 ms
Neighbor size: 11
tile size (t1, t2, t3): (256, 256, 4) with performance: 61 ms
Neighbor size: 10
tile size (t1, t2, t3): (256, 512, 4) with performance: 60 ms
Neighbor size: 9
tile size (t1, t2, t3): (256, 512, 8) with performance: 58 ms
Neighbor size: 9
coordinate search took 61511 milliseconds to converge.
Best tile sizes: (256, 512, 8) with performance: 58 ms
Start exhaustive search:
1 1 1 4825
1 1 2 3369
1 1 4 2836
1 1 8 2684
1 1 16 2628
1 1 32 2608
1 1 64 2625
1 1 128 2630
1 1 256 2629
1 1 512 2630
1 2 1 3295
1 2 2 2295
1 2 4 1762
1 2 8 1552
1 2 16 1457
1 2 32 1424
1 2 64 1406
1 2 128 1395
1 2 256 1390
1 2 512 1385
1 4 1 1746
1 4 2 1453
1 4 4 1223
1 4 8 1101
1 4 16 1048
1 4 32 1005
1 4 64 1021
1 4 128 1001
1 4 256 987
1 4 512 973
1 8 1 1154
1 8 2 894
1 8 4 687
1 8 8 612
1 8 16 603
1 8 32 590
1 8 64 567
1 8 128 595
1 8 256 590
1 8 512 582
1 16 1 721
1 16 2 520
1 16 4 447
1 16 8 386
1 16 16 333
1 16 32 278
1 16 64 257
1 16 128 268
1 16 256 265
1 16 512 261
1 32 1 371
1 32 2 283
1 32 4 234
1 32 8 211
1 32 16 202
1 32 32 197
1 32 64 197
1 32 128 195
1 32 256 195
1 32 512 194
1 64 1 223
1 64 2 185
1 64 4 172
1 64 8 165
1 64 16 163
1 64 32 162
1 64 64 162
1 64 128 161
1 64 256 161
1 64 512 160
1 128 1 168
1 128 2 159
1 128 4 155
1 128 8 152
1 128 16 151
1 128 32 151
1 128 64 150
1 128 128 151
1 128 256 150
1 128 512 151
1 256 1 169
1 256 2 163
1 256 4 161
1 256 8 161
1 256 16 160
1 256 32 160
1 256 64 160
1 256 128 160
1 256 256 160
1 256 512 160
1 512 1 156
1 512 2 155
1 512 4 153
1 512 8 152
1 512 16 153
1 512 32 152
1 512 64 152
1 512 128 151
1 512 256 151
1 512 512 152
2 1 1 3472
2 1 2 2705
2 1 4 1986
2 1 8 1678
2 1 16 1674
2 1 32 1817
2 1 64 2023
2 1 128 2347
2 1 256 2489
2 1 512 2567
2 2 1 2019
2 2 2 1536
2 2 4 1212
2 2 8 1188
2 2 16 1173
2 2 32 1108
2 2 64 1218
2 2 128 1291
2 2 256 1317
2 2 512 1341
2 4 1 1145
2 4 2 1190
2 4 4 1029
2 4 8 1031
2 4 16 809
2 4 32 765
2 4 64 834
2 4 128 828
2 4 256 820
2 4 512 812
2 8 1 879
2 8 2 655
2 8 4 553
2 8 8 552
2 8 16 477
2 8 32 441
2 8 64 450
2 8 128 483
2 8 256 481
2 8 512 477
2 16 1 482
2 16 2 403
2 16 4 339
2 16 8 307
2 16 16 277
2 16 32 256
2 16 64 256
2 16 128 269
2 16 256 266
2 16 512 268
2 32 1 322
2 32 2 255
2 32 4 225
2 32 8 211
2 32 16 196
2 32 32 179
2 32 64 182
2 32 128 190
2 32 256 194
2 32 512 194
2 64 1 207
2 64 2 167
2 64 4 140
2 64 8 125
2 64 16 121
2 64 32 125
2 64 64 126
2 64 128 132
2 64 256 139
2 64 512 140
2 128 1 134
2 128 2 118
2 128 4 115
2 128 8 110
2 128 16 110
2 128 32 110
2 128 64 116
2 128 128 125
2 128 256 124
2 128 512 125
2 256 1 126
2 256 2 134
2 256 4 118
2 256 8 115
2 256 16 120
2 256 32 125
2 256 64 130
2 256 128 129
2 256 256 128
2 256 512 127
2 512 1 121
2 512 2 111
2 512 4 108
2 512 8 110
2 512 16 118
2 512 32 119
2 512 64 121
2 512 128 120
2 512 256 120
2 512 512 127
4 1 1 2865
4 1 2 2058
4 1 4 1671
4 1 8 1513
4 1 16 1505
4 1 32 1779
4 1 64 1945
4 1 128 2302
4 1 256 2458
4 1 512 2543
4 2 1 1668
4 2 2 1279
4 2 4 1028
4 2 8 1024
4 2 16 1032
4 2 32 1032
4 2 64 1147
4 2 128 1248
4 2 256 1288
4 2 512 1311
4 4 1 884
4 4 2 946
4 4 4 894
4 4 8 780
4 4 16 670
4 4 32 686
4 4 64 735
4 4 128 739
4 4 256 735
4 4 512 734
4 8 1 628
4 8 2 562
4 8 4 524
4 8 8 413
4 8 16 378
4 8 32 362
4 8 64 402
4 8 128 424
4 8 256 424
4 8 512 424
4 16 1 352
4 16 2 316
4 16 4 284
4 16 8 227
4 16 16 211
4 16 32 214
4 16 64 221
4 16 128 229
4 16 256 229
4 16 512 233
4 32 1 256
4 32 2 218
4 32 4 174
4 32 8 153
4 32 16 151
4 32 32 145
4 32 64 153
4 32 128 156
4 32 256 165
4 32 512 170
4 64 1 163
4 64 2 149
4 64 4 124
4 64 8 121
4 64 16 114
4 64 32 116
4 64 64 116
4 64 128 123
4 64 256 135
4 64 512 138
4 128 1 135
4 128 2 111
4 128 4 108
4 128 8 98
4 128 16 95
4 128 32 96
4 128 64 98
4 128 128 107
4 128 256 110
4 128 512 114
4 256 1 115
4 256 2 102
4 256 4 88
4 256 8 86
4 256 16 92
