Mon Oct 28 03:21:57 AM EDT 2024
Execution time of cholesky_naive: 2233.14 ms
Execution time of cholesky_tiled: 1818.52 ms
Outputs of cholesky_naive and cholesky_tiled are the same.
Execution time of cholesky_naive: 2185.75 ms
Execution time of cholesky_pluto (32,32,32,32): 1790 ms
Starting position: (1, 1, 1, 1) with performance: 1827 ms
Neighbor size: 4
Neighbor size: 5
Coordinate Descent completed in 22352.8 ms
Best tile sizes from Coordinate Descent: t2=1, t3=1, t4=1, t5=2
Best performance from Coordinate Descent: 1766 ms
Starting Exhaustive Search...
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 1): 1961 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 2): 1744 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 4): 1865 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 8): 1775 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 16): 1802 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 32): 1956 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 64): 1839 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 128): 1918 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 1, 256): 1900 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 1): 1886 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 2): 1776 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 4): 1904 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 8): 1847 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 16): 1741 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 32): 1832 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 64): 1880 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 128): 1797 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 2, 256): 1762 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 1): 1764 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 2): 1813 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 4): 1850 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 8): 1861 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 16): 1789 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 32): 1801 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 64): 1853 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 128): 1779 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 4, 256): 1831 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 8, 1): 1784 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 8, 2): 1845 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 8, 4): 1795 ms
Performance at tile_size (t2, t3, t4, t5) = (1, 1, 8, 8): 1783 ms
