
Coordinate Descent:
Starting position: (1, 1) with performance: 18210327 ms
tile size (x, y): (4, 1) with performance: 7318398 ms
tile size (x, y): (4, 2) with performance: 5524118 ms
tile size (x, y): (4, 4) with performance: 4446484 ms
tile size (x, y): (4, 8) with performance: 4016574 ms
tile size (x, y): (8, 8) with performance: 3874349 ms
Converged to: (8, 8) with performance: 3874349 ms

Exhaustive search:
1 1 18095466
1 2 11074394
1 4 8105870
1 8 5976681
1 16 17634658
1 32 11721658
1 64 8144412
1 128 6121109
1 256 5495295
1 512 5212526
2 1 10783846
2 2 7386499
2 4 5549572
2 8 4756267
2 16 16964462
2 32 11072164
2 64 7584958
2 128 5631590
2 256 5019526
2 512 4761055
4 1 7282479
4 2 5503497
4 4 4443521
4 8 4019340
4 16 16351864
4 32 10794139
4 64 7340722
4 128 5356125
4 256 4697610
4 512 4445793
8 1 6791012
8 2 5199040
8 4 4185588
8 8 3871165
8 16 16361503
8 32 10735661
8 64 7325445
8 128 5332367
8 256 4685970
8 512 4432268
16 1 7005469
16 2 5182411
16 4 4297949
16 8 3936019
16 16 16354657
16 32 10754935
16 64 7334531
16 128 5353358
16 256 4689770
16 512 4453632
32 1 10431563
32 2 8330844
32 4 6206983
32 8 5769288
32 16 18415516
32 32 13178085
32 64 10031630
32 128 8406351
32 256 5641142
32 512 5097194
64 1 10613585
64 2 8194119
64 4 5865642
64 8 5798442
64 16 18923639
64 32 13877529
64 64 10679388
64 128 8678716
64 256 6448265
64 512 5297051
128 1 10211661
128 2 8390782
128 4 6244564
128 8 6958782
128 16 18980491
128 32 13980976
128 64 10851301
128 128 8831603
128 256 6518928
128 512 5128114
256 1 9987630
256 2 8750144
256 4 6382465
256 8 6923236
256 16 18901631
256 32 14015545
256 64 10847582
256 128 8827167
256 256 6113978
256 512 4863801
512 1 11749001
512 2 9133464
512 4 5953144
512 8 6495440
512 16 18579401
512 32 13918684
512 64 10816583
512 128 8852412
512 256 5654149
512 512 4642637
Converged to: (8, 8) with performance: 3871165ms
