Start coordinate search:
Starting position: (1, 1, 1) with performance: 31783 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 7245 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 1) with performance: 6025 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 64, 2) with performance: 5877 ms
Neighbor size: 9
tile size (t1, t2, t3): (1, 256, 2) with performance: 5710 ms
Neighbor size: 8
coordinate search took 548351 milliseconds to converge.
Best tile sizes: (1, 256, 2) with performance: 5710 ms
Start exhaustive search:
1 1 1 33427
1 1 2 24342
1 1 4 19772
1 1 8 17474
1 1 16 16456
1 1 32 15836
1 1 64 15503
1 1 128 15339
1 1 256 15261
1 1 512 15207
1 2 1 18748
1 2 2 14170
1 2 4 12037
1 2 8 11280
1 2 16 10883
1 2 32 10551
1 2 64 10441
1 2 128 10216
1 2 256 10176
1 2 512 9933
1 4 1 11413
1 4 2 9141
1 4 4 8044
1 4 8 7583
1 4 16 7264
1 4 32 7131
1 4 64 6985
1 4 128 7090
1 4 256 7028
1 4 512 6996
1 8 1 8330
1 8 2 7331
1 8 4 6781
1 8 8 6594
1 8 16 6434
1 8 32 6371
1 8 64 6360
1 8 128 6321
1 8 256 6333
1 8 512 6325
1 16 1 7193
1 16 2 6884
1 16 4 6596
1 16 8 6443
1 16 16 6388
1 16 32 6406
1 16 64 6381
1 16 128 6414
1 16 256 6383
1 16 512 6377
1 32 1 6463
1 32 2 6223
1 32 4 6135
1 32 8 6038
1 32 16 6109
1 32 32 6074
1 32 64 6044
1 32 128 6038
1 32 256 6003
1 32 512 6004
1 64 1 6007
1 64 2 5907
1 64 4 5840
1 64 8 5778
1 64 16 5815
1 64 32 5807
1 64 64 5805
1 64 128 5850
1 64 256 5808
1 64 512 5782
1 128 1 5915
1 128 2 5820
1 128 4 5724
1 128 8 5705
1 128 16 5817
1 128 32 5764
1 128 64 5779
1 128 128 5745
1 128 256 5751
1 128 512 5756
1 256 1 5885
1 256 2 5748
1 256 4 5735
1 256 8 5714
1 256 16 5759
1 256 32 5734
1 256 64 5768
1 256 128 5815
1 256 256 5798
1 256 512 5815
1 512 1 5802
1 512 2 5826
1 512 4 5788
1 512 8 5756
1 512 16 5772
1 512 32 5750
1 512 64 5795
1 512 128 5743
1 512 256 5754
1 512 512 5840
2 1 1 29711
2 1 2 22377
2 1 4 18712
2 1 8 16891
2 1 16 16145
2 1 32 14441
2 1 64 13328
2 1 128 13220
2 1 256 13164
2 1 512 13143
2 2 1 14594
2 2 2 11260
2 2 4 9727
2 2 8 9461
2 2 16 9053
2 2 32 8817
2 2 64 8703
2 2 128 8610
2 2 256 8564
2 2 512 8524
2 4 1 9195
2 4 2 8106
2 4 4 7425
2 4 8 6934
2 4 16 6629
2 4 32 6533
2 4 64 6539
2 4 128 6478
2 4 256 6547
2 4 512 6592
2 8 1 7515
2 8 2 6824
2 8 4 6437
2 8 8 6194
2 8 16 6131
2 8 32 6029
2 8 64 6070
2 8 128 6164
2 8 256 6178
2 8 512 6193
2 16 1 6930
2 16 2 6642
2 16 4 6318
2 16 8 6222
2 16 16 6149
2 16 32 6139
2 16 64 6168
2 16 128 6101
2 16 256 6086
2 16 512 6178
2 32 1 6210
2 32 2 5965
2 32 4 5891
2 32 8 5880
2 32 16 5799
2 32 32 5971
2 32 64 5753
2 32 128 5736
2 32 256 5902
2 32 512 5736
2 64 1 5816
2 64 2 5749
2 64 4 5726
2 64 8 5670
2 64 16 5673
2 64 32 5733
2 64 64 5746
2 64 128 5781
2 64 256 5718
2 64 512 5778
2 128 1 5734
2 128 2 5670
2 128 4 5664
2 128 8 5635
2 128 16 5697
2 128 32 5762
2 128 64 5712
2 128 128 5687
2 128 256 5641
2 128 512 5820
2 256 1 5733
2 256 2 5658
2 256 4 5622
2 256 8 5696
2 256 16 5775
2 256 32 5768
2 256 64 5646
2 256 128 5796
2 256 256 5707
2 256 512 5773
2 512 1 5616
2 512 2 5581
2 512 4 5732
2 512 8 5806
2 512 16 5766
2 512 32 5745
2 512 64 5788
2 512 128 5567
2 512 256 5753
2 512 512 5795
4 1 1 24373
4 1 2 18746
4 1 4 16024
4 1 8 14511
4 1 16 13767
4 1 32 13404
4 1 64 13216
4 1 128 13128
4 1 256 13079
4 1 512 13065
4 2 1 13681
4 2 2 10990
4 2 4 9551
4 2 8 9013
4 2 16 8572
4 2 32 8402
4 2 64 8257
4 2 128 8217
4 2 256 8269
4 2 512 8207
4 4 1 9173
4 4 2 8068
4 4 4 7474
4 4 8 7088
4 4 16 6708
4 4 32 6707
4 4 64 6596
4 4 128 6616
4 4 256 6612
4 4 512 6561
4 8 1 7397
4 8 2 6780
4 8 4 6574
4 8 8 6323
4 8 16 6257
4 8 32 6213
4 8 64 6281
4 8 128 6252
4 8 256 6218
4 8 512 6218
4 16 1 6962
4 16 2 6697
4 16 4 6453
4 16 8 6345
4 16 16 6393
4 16 32 6303
4 16 64 6322
4 16 128 6409
4 16 256 6375
4 16 512 6350
4 32 1 6495
4 32 2 6102
4 32 4 5976
4 32 8 6052
4 32 16 6019
4 32 32 6013
4 32 64 6020
4 32 128 5943
4 32 256 6008
4 32 512 6031
4 64 1 6061
4 64 2 5771
4 64 4 5865
4 64 8 5834
4 64 16 5843
4 64 32 5971
4 64 64 5777
4 64 128 5796
4 64 256 5881
4 64 512 5762
4 128 1 5872
4 128 2 5671
4 128 4 5694
4 128 8 5785
4 128 16 5753
4 128 32 5796
4 128 64 5713
4 128 128 5830
4 128 256 5804
4 128 512 5875
4 256 1 5670
4 256 2 5642
4 256 4 5735
4 256 8 5655
4 256 16 5917
4 256 32 5793
4 256 64 5791
4 256 128 5788
4 256 256 5871
4 256 512 5779
4 512 1 5830
4 512 2 5689
4 512 4 5650
4 512 8 5694
4 512 16 5667
4 512 32 5859
4 512 64 5834
4 512 128 5857
4 512 256 5870
4 512 512 6010
8 1 1 23766
8 1 2 18352
8 1 4 15697
8 1 8 14330
8 1 16 13673
8 1 32 13337
8 1 64 13163
8 1 128 13080
8 1 256 13036
8 1 512 13024
8 2 1 13283
8 2 2 10651
8 2 4 9392
8 2 8 8804
8 2 16 8419
8 2 32 8349
8 2 64 8203
8 2 128 8227
8 2 256 8142
8 2 512 8097
8 4 1 8784
8 4 2 7891
8 4 4 7343
8 4 8 6974
8 4 16 6860
8 4 32 6706
8 4 64 6759
8 4 128 6703
8 4 256 6647
8 4 512 6603
8 8 1 7355
8 8 2 6799
8 8 4 6527
8 8 8 6384
8 8 16 6294
8 8 32 6214
8 8 64 6199
8 8 128 6292
8 8 256 6168
8 8 512 6289
8 16 1 6786
8 16 2 6632
8 16 4 6510
8 16 8 6361
8 16 16 6352
8 16 32 6388
8 16 64 6356
8 16 128 6305
8 16 256 6343
8 16 512 6415
8 32 1 6386
8 32 2 6043
8 32 4 6029
8 32 8 6031
8 32 16 6069
8 32 32 6039
8 32 64 6013
8 32 128 5997
8 32 256 6023
8 32 512 6208
8 64 1 6176
8 64 2 5830
8 64 4 5867
8 64 8 5928
8 64 16 5942
8 64 32 5847
8 64 64 5760
8 64 128 6002
8 64 256 5994
8 64 512 5879
8 128 1 6088
8 128 2 5706
8 128 4 5842
8 128 8 5882
8 128 16 5716
8 128 32 5847
8 128 64 5817
8 128 128 5983
8 128 256 5971
8 128 512 5888
8 256 1 5778
8 256 2 5641
8 256 4 5736
8 256 8 5763
8 256 16 5844
8 256 32 5631
8 256 64 5678
8 256 128 5631
8 256 256 5805
8 256 512 5950
