Start coordinate search:
Starting position: (1, 1, 1) with performance: 30414 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 10010 ms
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 4) with performance: 9143 ms
Neighbor size: 10
tile size (t1, t2, t3): (1, 32, 4) with performance: 8875 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 32, 4) with performance: 8809 ms
Neighbor size: 11
tile size (t1, t2, t3): (2, 128, 4) with performance: 8678 ms
Neighbor size: 11
tile size (t1, t2, t3): (2, 256, 4) with performance: 8256 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 256, 16) with performance: 8152 ms
Neighbor size: 10
tile size (t1, t2, t3): (2, 256, 32) with performance: 8115 ms
Neighbor size: 10
coordinate search took 1085021 milliseconds to converge.
Best tile sizes: (2, 256, 32) with performance: 8115 ms
Start exhaustive search:
1 1 1 30417
1 1 2 22321
1 1 4 18288
1 1 8 16290
1 1 16 15458
1 1 32 14868
1 1 64 14569
1 1 128 14422
1 1 256 14335
1 1 512 14297
1 2 1 17022
1 2 2 13462
1 2 4 12036
1 2 8 11940
1 2 16 11452
1 2 32 11149
1 2 64 11404
1 2 128 11143
1 2 256 10923
1 2 512 11063
1 4 1 12321
1 4 2 10793
1 4 4 10435
1 4 8 10259
1 4 16 9827
1 4 32 9631
1 4 64 9571
1 4 128 9815
1 4 256 9416
1 4 512 9411
1 8 1 10539
1 8 2 9311
1 8 4 9393
1 8 8 9463
1 8 16 9521
1 8 32 9215
1 8 64 8823
1 8 128 9178
1 8 256 9313
1 8 512 8958
1 16 1 9838
1 16 2 9328
1 16 4 9305
1 16 8 9079
1 16 16 9387
1 16 32 9078
1 16 64 9073
1 16 128 9005
1 16 256 9052
1 16 512 8860
1 32 1 9500
1 32 2 8913
1 32 4 8847
1 32 8 8812
1 32 16 8741
1 32 32 8900
1 32 64 8707
1 32 128 8876
1 32 256 8759
1 32 512 8798
1 64 1 9069
1 64 2 8774
1 64 4 8734
1 64 8 8680
1 64 16 8864
1 64 32 8728
1 64 64 8681
1 64 128 8694
1 64 256 8666
1 64 512 8650
1 128 1 9061
1 128 2 8694
1 128 4 8735
1 128 8 8598
1 128 16 8673
1 128 32 8616
1 128 64 8671
1 128 128 8626
1 128 256 8657
1 128 512 8677
1 256 1 8629
1 256 2 8191
1 256 4 8121
1 256 8 8108
1 256 16 8139
1 256 32 8175
1 256 64 8248
1 256 128 8256
1 256 256 8414
1 256 512 8478
1 512 1 8849
1 512 2 8616
1 512 4 8539
1 512 8 8489
1 512 16 8434
1 512 32 8453
1 512 64 8500
1 512 128 8577
1 512 256 8507
1 512 512 8444
2 1 1 27133
2 1 2 20656
2 1 4 17492
2 1 8 15763
2 1 16 15023
2 1 32 14539
2 1 64 14290
2 1 128 14167
2 1 256 14103
2 1 512 14081
2 2 1 15332
2 2 2 12747
2 2 4 11630
2 2 8 11786
2 2 16 11537
2 2 32 11116
2 2 64 11028
2 2 128 11134
2 2 256 11229
2 2 512 11032
2 4 1 11651
2 4 2 10515
2 4 4 10243
2 4 8 9834
2 4 16 9751
2 4 32 9365
2 4 64 9255
2 4 128 9329
2 4 256 9295
2 4 512 9358
2 8 1 10109
2 8 2 9409
2 8 4 9214
2 8 8 9115
2 8 16 9020
2 8 32 8991
2 8 64 8845
2 8 128 8942
2 8 256 8888
2 8 512 8926
2 16 1 9544
2 16 2 9232
2 16 4 9015
2 16 8 8953
2 16 16 8929
2 16 32 9096
2 16 64 8884
2 16 128 8865
2 16 256 8828
2 16 512 8856
2 32 1 8896
2 32 2 8782
2 32 4 8764
2 32 8 8693
2 32 16 8700
2 32 32 8676
2 32 64 8677
2 32 128 8507
2 32 256 8453
2 32 512 8420
2 64 1 8831
2 64 2 8703
2 64 4 8598
2 64 8 8660
2 64 16 8636
2 64 32 8771
2 64 64 8670
2 64 128 8691
2 64 256 8732
2 64 512 8699
2 128 1 8620
2 128 2 8576
2 128 4 8594
2 128 8 8683
2 128 16 8575
2 128 32 8559
2 128 64 8718
2 128 128 8622
2 128 256 8948
2 128 512 8693
2 256 1 8577
2 256 2 8218
2 256 4 8131
2 256 8 8082
2 256 16 8099
2 256 32 8106
2 256 64 8214
2 256 128 8301
2 256 256 8340
2 256 512 8448
2 512 1 8551
2 512 2 8462
2 512 4 8439
2 512 8 8484
2 512 16 8313
2 512 32 8388
2 512 64 8388
2 512 128 8415
2 512 256 8437
2 512 512 8338
4 1 1 25484
4 1 2 19743
4 1 4 16986
4 1 8 15416
4 1 16 14792
4 1 32 14365
4 1 64 14140
4 1 128 14032
4 1 256 13978
4 1 512 13960
4 2 1 14550
4 2 2 12779
4 2 4 11935
4 2 8 11608
4 2 16 11298
4 2 32 10982
4 2 64 10902
4 2 128 11029
4 2 256 10968
4 2 512 10852
4 4 1 11402
4 4 2 10339
4 4 4 10116
4 4 8 10073
4 4 16 9762
4 4 32 9555
4 4 64 9582
4 4 128 9543
4 4 256 9376
4 4 512 9550
4 8 1 9986
4 8 2 9293
4 8 4 9480
4 8 8 9266
4 8 16 8847
4 8 32 9113
4 8 64 9320
4 8 128 8925
4 8 256 9129
4 8 512 8863
4 16 1 9751
4 16 2 9340
4 16 4 9257
4 16 8 9138
4 16 16 9201
4 16 32 9133
4 16 64 8947
4 16 128 8968
4 16 256 8967
4 16 512 9055
4 32 1 9313
4 32 2 8995
4 32 4 9015
4 32 8 8949
4 32 16 8833
4 32 32 8817
4 32 64 8842
4 32 128 8848
4 32 256 8836
4 32 512 8930
4 64 1 9063
4 64 2 8851
4 64 4 8804
4 64 8 8783
4 64 16 8803
4 64 32 8750
4 64 64 8746
4 64 128 8751
4 64 256 8761
4 64 512 8874
4 128 1 8855
4 128 2 8661
4 128 4 8694
4 128 8 8684
4 128 16 8791
4 128 32 8704
4 128 64 8752
4 128 128 8853
4 128 256 8765
4 128 512 8938
4 256 1 8651
4 256 2 8278
4 256 4 8213
4 256 8 8196
4 256 16 8203
4 256 32 8224
4 256 64 8267
4 256 128 8328
4 256 256 8442
4 256 512 8544
4 512 1 8599
4 512 2 8532
4 512 4 8530
4 512 8 8458
4 512 16 8585
4 512 32 8425
4 512 64 8472
4 512 128 8567
4 512 256 8587
4 512 512 8464
8 1 1 24715
8 1 2 19404
8 1 4 16648
8 1 8 15233
8 1 16 14673
8 1 32 14276
8 1 64 14067
8 1 128 13964
8 1 256 13912
8 1 512 13897
8 2 1 14314
8 2 2 12486
8 2 4 11520
8 2 8 11422
8 2 16 10965
8 2 32 10928
8 2 64 10721
8 2 128 10714
8 2 256 10720
8 2 512 10773
8 4 1 11445
8 4 2 10236
8 4 4 10044
8 4 8 9747
8 4 16 9591
8 4 32 9516
8 4 64 9439
8 4 128 9559
8 4 256 9355
8 4 512 9366
8 8 1 9869
8 8 2 9126
8 8 4 9415
8 8 8 9257
8 8 16 9109
8 8 32 8893
8 8 64 9487
8 8 128 8992
8 8 256 9098
8 8 512 9315
8 16 1 9870
8 16 2 9336
8 16 4 9187
8 16 8 9270
8 16 16 9129
8 16 32 9271
8 16 64 9190
8 16 128 9124
8 16 256 9137
8 16 512 9144
8 32 1 9330
8 32 2 8965
8 32 4 8955
8 32 8 8952
8 32 16 8901
8 32 32 9038
8 32 64 8906
8 32 128 8879
8 32 256 8992
8 32 512 8845
8 64 1 8992
8 64 2 8882
8 64 4 8801
8 64 8 8921
8 64 16 8856
8 64 32 8871
8 64 64 8812
8 64 128 8885
8 64 256 8852
8 64 512 8862
8 128 1 8860
8 128 2 8718
8 128 4 8881
8 128 8 8768
8 128 16 8773
8 128 32 8790
8 128 64 8675
8 128 128 8718
8 128 256 8781
8 128 512 8852
8 256 1 8666
8 256 2 8286
8 256 4 8183
8 256 8 8196
8 256 16 8165
8 256 32 8244
8 256 64 8211
8 256 128 8362
8 256 256 8389
8 256 512 8541
8 512 1 8786
8 512 2 8552
8 512 4 8479
8 512 8 8446
8 512 16 8482
8 512 32 8470
8 512 64 8428
8 512 128 8480
8 512 256 8489
8 512 512 8622
16 1 1 24283
16 1 2 19117
16 1 4 16478
16 1 8 15142
16 1 16 14612
16 1 32 14233
16 1 64 14029
16 1 128 13934
16 1 256 13892
16 1 512 13866
16 2 1 14446
16 2 2 12380
16 2 4 11595
16 2 8 11282
16 2 16 10942
16 2 32 10963
16 2 64 10739
16 2 128 10731
16 2 256 10831
16 2 512 10644
16 4 1 11324
16 4 2 10297
16 4 4 10031
16 4 8 9817
16 4 16 9727
16 4 32 9639
16 4 64 9443
16 4 128 9596
16 4 256 9716
16 4 512 9521
16 8 1 10336
16 8 2 9244
16 8 4 9416
16 8 8 9339
16 8 16 9296
16 8 32 9101
16 8 64 9326
16 8 128 9220
16 8 256 9106
16 8 512 9465
16 16 1 9723
16 16 2 9380
16 16 4 9377
16 16 8 9310
16 16 16 9245
16 16 32 9402
16 16 64 9220
16 16 128 9218
16 16 256 9197
16 16 512 9389
16 32 1 9244
16 32 2 8945
16 32 4 8958
16 32 8 8848
16 32 16 9000
16 32 32 8995
16 32 64 9024
16 32 128 9068
16 32 256 8975
16 32 512 9139
16 64 1 9094
16 64 2 8858
16 64 4 8932
16 64 8 8851
16 64 16 8861
16 64 32 8954
16 64 64 8941
16 64 128 8905
16 64 256 8998
16 64 512 8873
16 128 1 8971
16 128 2 8636
16 128 4 8923
16 128 8 8803
