Start coordinate search:
Starting position: (1, 1, 1) with performance: 5506 ms
Neighbor size: 6
Neighbor size: 8
tile size (t1, t2, t3): (1, 16, 1) with performance: 899 ms
Neighbor size: 8
tile size (t1, t2, t3): (4, 16, 1) with performance: 476 ms
Neighbor size: 10
tile size (t1, t2, t3): (4, 64, 1) with performance: 389 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 64, 1) with performance: 372 ms
Neighbor size: 10
tile size (t1, t2, t3): (16, 256, 1) with performance: 368 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 256, 1) with performance: 364 ms
Neighbor size: 9
tile size (t1, t2, t3): (64, 512, 1) with performance: 362 ms
Neighbor size: 8
coordinate search took 85489 milliseconds to converge.
Best tile sizes: (64, 512, 1) with performance: 362 ms
Start exhaustive search:
1 1 1 5497
1 1 2 5327
1 1 4 5196
1 1 8 5156
1 1 16 5132
1 1 32 5145
1 1 64 5149
1 1 128 5149
1 1 256 5148
1 1 512 5146
1 2 1 2896
1 2 2 2740
1 2 4 2592
1 2 8 2587
1 2 16 2592
1 2 32 2600
1 2 64 2610
1 2 128 2609
1 2 256 2608
1 2 512 2608
1 4 1 2067
1 4 2 1863
1 4 4 1815
1 4 8 1820
1 4 16 1821
1 4 32 1823
1 4 64 1821
1 4 128 1822
1 4 256 1823
1 4 512 1824
1 8 1 1325
1 8 2 1119
1 8 4 1100
1 8 8 1102
1 8 16 1100
1 8 32 1098
1 8 64 1097
1 8 128 1098
1 8 256 1098
1 8 512 1098
1 16 1 901
1 16 2 851
1 16 4 843
1 16 8 824
1 16 16 813
1 16 32 810
1 16 64 806
1 16 128 812
1 16 256 812
1 16 512 811
1 32 1 642
1 32 2 575
1 32 4 557
1 32 8 546
1 32 16 538
1 32 32 537
1 32 64 545
1 32 128 544
1 32 256 542
1 32 512 537
1 64 1 502
1 64 2 474
1 64 4 459
1 64 8 453
1 64 16 450
1 64 32 451
1 64 64 450
1 64 128 451
1 64 256 449
1 64 512 449
1 128 1 469
1 128 2 439
1 128 4 424
1 128 8 420
1 128 16 419
1 128 32 416
1 128 64 416
1 128 128 415
1 128 256 415
1 128 512 414
1 256 1 396
1 256 2 388
1 256 4 383
1 256 8 384
1 256 16 382
1 256 32 380
1 256 64 379
1 256 128 379
1 256 256 379
1 256 512 379
1 512 1 384
1 512 2 385
1 512 4 396
1 512 8 399
1 512 16 398
1 512 32 397
1 512 64 396
1 512 128 397
1 512 256 397
1 512 512 397
2 1 1 3382
2 1 2 2873
2 1 4 2734
2 1 8 2660
2 1 16 2822
2 1 32 3117
2 1 64 3911
2 1 128 4569
2 1 256 4884
2 1 512 5050
2 2 1 2201
2 2 2 1689
2 2 4 1599
2 2 8 1597
2 2 16 1828
2 2 32 1954
2 2 64 2340
2 2 128 2481
2 2 256 2545
2 2 512 2581
2 4 1 1315
2 4 2 1475
2 4 4 1495
2 4 8 1629
2 4 16 1720
2 4 32 1766
2 4 64 1788
2 4 128 1803
2 4 256 1809
2 4 512 1815
2 8 1 996
2 8 2 916
2 8 4 818
2 8 8 845
2 8 16 833
2 8 32 962
2 8 64 1030
2 8 128 1070
2 8 256 1085
2 8 512 1093
2 16 1 592
2 16 2 590
2 16 4 634
2 16 8 630
2 16 16 644
2 16 32 664
2 16 64 675
2 16 128 685
2 16 256 686
2 16 512 687
2 32 1 483
2 32 2 423
2 32 4 405
2 32 8 405
2 32 16 409
2 32 32 415
2 32 64 430
2 32 128 438
2 32 256 439
2 32 512 438
2 64 1 423
2 64 2 412
2 64 4 405
2 64 8 404
2 64 16 403
2 64 32 408
2 64 64 406
2 64 128 402
2 64 256 402
2 64 512 403
2 128 1 402
2 128 2 386
2 128 4 383
2 128 8 381
2 128 16 386
2 128 32 385
2 128 64 383
2 128 128 381
2 128 256 381
2 128 512 381
2 256 1 390
2 256 2 386
2 256 4 382
2 256 8 384
2 256 16 384
2 256 32 383
2 256 64 383
2 256 128 381
2 256 256 380
2 256 512 382
2 512 1 383
2 512 2 381
2 512 4 382
2 512 8 382
2 512 16 382
2 512 32 382
2 512 64 381
2 512 128 381
2 512 256 381
2 512 512 385
4 1 1 2789
4 1 2 2166
4 1 4 1846
4 1 8 2058
4 1 16 2569
4 1 32 3075
4 1 64 3813
4 1 128 4520
4 1 256 4856
4 1 512 5030
4 2 1 1838
4 2 2 1546
4 2 4 1452
4 2 8 1417
4 2 16 1696
4 2 32 1876
4 2 64 2285
4 2 128 2453
4 2 256 2528
4 2 512 2569
4 4 1 1085
4 4 2 1182
4 4 4 1455
4 4 8 1634
4 4 16 1725
4 4 32 1768
4 4 64 1786
4 4 128 1800
4 4 256 1805
4 4 512 1809
4 8 1 729
4 8 2 667
4 8 4 689
4 8 8 731
4 8 16 768
4 8 32 915
4 8 64 1007
4 8 128 1058
4 8 256 1078
4 8 512 1090
4 16 1 476
4 16 2 524
4 16 4 509
4 16 8 518
4 16 16 560
4 16 32 596
4 16 64 611
4 16 128 621
4 16 256 624
4 16 512 624
4 32 1 405
4 32 2 388
4 32 4 381
4 32 8 387
4 32 16 393
4 32 32 395
4 32 64 399
4 32 128 401
4 32 256 401
4 32 512 401
4 64 1 389
4 64 2 388
4 64 4 385
4 64 8 386
4 64 16 386
4 64 32 388
4 64 64 386
4 64 128 377
4 64 256 377
4 64 512 380
4 128 1 376
4 128 2 374
4 128 4 374
4 128 8 374
4 128 16 376
4 128 32 374
4 128 64 373
4 128 128 371
4 128 256 370
4 128 512 370
4 256 1 377
4 256 2 376
4 256 4 374
4 256 8 374
4 256 16 374
4 256 32 373
4 256 64 373
4 256 128 372
4 256 256 372
4 256 512 373
4 512 1 374
4 512 2 374
4 512 4 372
4 512 8 372
4 512 16 372
4 512 32 372
4 512 64 372
4 512 128 372
4 512 256 372
4 512 512 374
8 1 1 2582
8 1 2 1979
8 1 4 1710
8 1 8 2021
8 1 16 2460
8 1 32 3029
8 1 64 3779
8 1 128 4503
8 1 256 4844
8 1 512 5019
8 2 1 1659
8 2 2 1401
8 2 4 1311
8 2 8 1358
8 2 16 1637
8 2 32 1824
8 2 64 2263
8 2 128 2444
8 2 256 2521
8 2 512 2563
8 4 1 1006
8 4 2 1092
8 4 4 1433
8 4 8 1639
8 4 16 1731
8 4 32 1768
8 4 64 1784
8 4 128 1798
8 4 256 1803
8 4 512 1806
